id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3246,HD 37124 c,103,0.652 Jupiters,7.68,2002
3247,HD 37124 d,103,0.696 Jupiters,7.68,2005
3248,HD 37605 b,153,2.69 Jupiters,8.67,2004
3249,HD 37605 c,153,3.19 Jupiters,8.67,2012
3250,HD 32963 b,124,0.7 Jupiters,7.6,2015
3251,HD 330075 b,148,0.48 Jupiters,9.36,2004
3252,HD 331093 b,164,1.5 Jupiters,8.38,2021
3253,HD 33142 b,396,1.26 Jupiters,7.96,2011
3254,HD 33142 c,396,0.89 Jupiters,7.96,2018
3255,HD 33142 d,396,0.2 Jupiters,7.96,2022
3256,HD 332231 b,263,0.244 Jupiters,8.558,2020
3257,HD 33283 b,293,0.329 Jupiters,8.05,2006
3258,HD 33564 b,68,9.1 Jupiters,5.10111,2005
3259,HD 33844 b,345,2.01 Jupiters,7.29,2015
3260,HD 33844 c,345,1.75 Jupiters,7.29,2015
3261,HD 34445 b,150,0.82 Jupiters,7.31,2009
3262,HD 34445 c,150,0.168 Jupiters,7.31,2017
3263,HD 34445 d,150,30.7 Earths,7.31,2017
3264,HD 34445 e,150,16.8 Earths,7.31,2017
3265,HD 34445 f,150,37.9 Earths,7.31,2017
3266,HD 34445 g,150,0.38 Jupiters,7.31,2017
3267,HD 35759 b,232,3.76 Jupiters,7.74,2016
3268,HD 360 b,364,0.75 Jupiters,5.986,2021
3269,HD 3651 b,36,0.228 Jupiters,5.88437,2003
3270,HD 37124 b,103,0.675 Jupiters,7.68,2002
3271,HD 37124 c,103,0.652 Jupiters,7.68,2002
3272,HD 37124 d,103,0.696 Jupiters,7.68,2005
3273,HD 37605 b,153,2.69 Jupiters,8.67,2004
3274,HD 37605 c,153,3.19 Jupiters,8.67,2012
3275,HD 4308 b,72,15.8915 Earths,6.55,2005
3276,HD 4313 b,445,1.927 Jupiters,7.83,2009
3277,HD 43197 b,204,0.55388 Jupiters,8.98,2010
3278,HD 43197 c,204,7.80042 Jupiters,8.98,2022
3279,HD 43691 b,279,2.55 Jupiters,8.03,2007
3280,HD 44219 b,173,0.58 Jupiters,7.69,2010
3281,HD 45184 b,72,12.19 Earths,6.383,2019
3282,HD 45184 c,72,8.81 Earths,6.383,2019
3283,HD 45350 b,153,1.79 Jupiters,7.89,2004
3284,HD 45364 b,112,0.1872 Jupiters,8.08,2008
3285,HD 45364 c,112,0.6579 Jupiters,8.08,2008
3286,HD 45652 b,114,0.433 Jupiters,8.1,2008
3287,HD 457 b,180,23.8334 Jupiters,7.72,2022
3288,HD 46375 b,96,0.226 Jupiters,7.91,2000
3289,HD 47186 b,122,22.2481 Earths,7.63,2008
3290,HD 47186 c,122,0.35061 Jupiters,7.63,2008
3291,HD 4732 b,179,2.37 Jupiters,5.9,2012
3292,HD 4732 c,179,2.37 Jupiters,5.9,2012
3293,HD 47366 b,275,2.3 Jupiters,6.11151,2016
3294,HD 47366 c,275,1.88 Jupiters,6.11151,2016
3295,HD 47536 b,400,7.32 Jupiters,5.25,2002
3296,HD 4760 b,1755,13.9 Jupiters,7.51,2021
3297,HD 48265 b,295,1.525 Jupiters,8.05,2008
3298,HD 4917 b,666,1.615 Jupiters,8.03,2018
3299,HD 49674 b,140,31.783 Earths,8.1,2002
3300,HD 4308 b,72,15.8915 Earths,6.55,2005
